"
Infant mortality rate (per 1000)",2.07,2.03,2.41,2.49,2.45,2.18,2.69,2.59,2.1,2.54,2.49,2.49,2.49,2.8,2.43,3.11,3.11,3.27,3.65,3.42,3.37,3.55,3.62,3.96,4.15,4.45,4.84,5.35,6.15,5.96,5.77,5.82,6.12,5.93,6.76,6.4,7.04,6.85,6.94,6.91,8.63,11,16.62
"
In-migration",115805,132602,144489,163005,134240,126966,115845,103059,96467,98801,102280,101171,99485,95750,65229,62028,63795,64087,60795,58659,49839,49391,44818,39895,45887,83598,61872,45348,49731,60048,65866,51092,42666,39487,33127,31486,27495,30381,32272,39426,44133,77326,26143
"
In-migrations per 1000 inhabitants",11.3,13.1,14.5,16.5,13.8,13.2,12.1,10.9,10.2,10.6,11,11,10.9,10.6,7.2,6.9,7.1,7.2,6.8,6.6,5.6,5.6,5.1,4.5,5.2,9.6,7.1,5.2,5.8,7,7.8,6.1,5.1,4.7,4,3.8,3.3,3.7,3.9,4.7,5.4,9.6,3.5
"
Out-migration",47718,46981,45620,45878,55830,51237,50715,51747,51179,48853,39240,45294,45418,44908,38118,36586,35023,33009,32141,34091,35705,38518,38543,33884,33984,32661,29874,25726,24745,25196,21484,21461,20673,24495,22036,22825,25269,28381,29440,29839,27249,28635,15138
"
Out-migrations per 1000 inhabitants",4.7,4.6,4.6,4.7,5.7,5.3,5.3,5.5,5.4,5.2,4.2,4.9,5,5,4.2,4.1,3.9,3.7,3.6,3.8,4,4.4,4.4,3.8,3.9,3.7,3.4,3,2.9,3,2.5,2.6,2.5,2.9,2.6,2.7,3,3.4,3.5,3.6,3.3,3.6,2
"
Population growth",97404,109943,125089,144136,103662,102491,88971,73038,67285,74888,84335,73420,69670,65505,36360,35722,34882,31660,26336,21366,7104,6697,3126,7003,21115,71272,53096,47894,53489,63594,68148,44805,32568,23376,15518,12048,3089,4451,5096,14927,31751,76872,35827
"
Population growth per 1000 inhabitants",9.5,10.9,12.5,14.6,10.6,10.6,9.3,7.7,7.1,8,9.1,8,7.6,7.2,4,4,3.9,3.6,3,2.4,0.8,0.8,0.4,0.8,2.4,8.1,6.1,5.5,6.2,7.5,8.1,5.3,3.9,2.8,1.9,1.4,0.4,0.5,0.6,1.8,3.9,9.5,4.8
"
Marriages 
7",48481,50796,52497,53817,52314,53113,51610,56240,53013,56555,54349,56445,53506,50501,48218,47053,42693,41523,39157,43138,35682,31598,32313,33484,33642,34203,34005,37173,36836,40477,108919,44229,41223,38906,38297,36849,36210,37051,37793,37569,44103,43278,50149
"
Divorces 
8",25408,24958,24210,24258,24876,26143,26933,25005,24884,25151,23534,22580,21814,21285,20747,20808,21818,21861,21527,22082,21000,20761,21009,21377,22528,22237,21673,21907,20149,19357,18862,17746,18426,19107,19763,20377,20618,20766,20198,19887,25383,12943,8958
"
Registered partnership 
9","
.","
.","
.","
.","
.","
.","
.","
.","
.","
.",148,814,650,660,593,567,497,422,381,357,287,250,262,319,665,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
"
Deregistered partnership 
10",48,61,78,72,80,93,130,146,171,223,224,181,189,201,134,115,113,92,105,101,80,61,0,0,0,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
"
Persons who became Swedish citizens 
11",64206,63818,68898,60343,48249,42918,49632,49746,36328,32197,29318,30254,33436,50897,39270,28599,32756,37270,35951,43173,37673,46520,28884,25552,31993,35084,42659,29389,27663,16770,17552,17966,19958,20695,20498,21844,18327,18303,18858,20833,16705,11539,8452
